#  Contiguous U.S. Palmer Z-Index
Date,Value
193008,-3.43
193009,-1.04
193010,0.98
193011,-0.24
193012,-2.94
193101,-3.52
193102,-2.86
193103,-0.14
193104,-1.12
193105,-1.35
193106,-2.83
193107,-2.2
193108,-0.65
193109,-2.5
193110,-1.47
193111,-0.63
193112,0.88
193201,2.61
193202,0.42
193203,0.34
193204,-1.11
193205,-1.4
193206,0.29
193207,-0.79
193208,0.34
193209,-0.94
193210,1.42
193211,-0.26
193212,1.47
193301,1.08
193302,0.17
193303,-0.28
193304,0.65
193305,1.59
193306,-4.96
193307,-1.61
193308,-0.04
193309,-1.31
193310,-1.67
193311,-4.3
193312,-2.68
193401,-4.06
193402,-3.84
193403,-0.95
193404,-2.96
193405,-5.09
193406,-2.63
193407,-4.95
193408,-3.47
193409,1.04
193410,-2.09
193411,0.01
193412,-2.24
193501,-1.36
193502,-1.01
193503,0.04
193504,1.25
193505,3.44
193506,1.31
193507,0.52
193508,-0.46
193509,-0.03
193510,-1.24
193511,-0.6
193512,-2.01
193601,0.17
193602,2.12
193603,-1.88
193604,-1.04
193605,-3.05
193606,-3.9
193607,-4.41
193608,-3.9
193609,0.58
193610,-0.22
193611,-3.66
193612,-1.95
193701,1.09
193702,0.97
193703,-0.49
193704,0.97
193705,-2.24
193706,0.39
193707,-1.02
193708,-1.44
193709,-1.84
193710,1.25
193711,-0.23
193712,-0.01
193801,-0.18
193802,1.09
193803,1.35
193804,0.43
193805,1.13
193806,0.75
193807,2.48
193808,-1.26
193809,-0.58
193810,-2.83
193811,-0.89
193812,-2.57
193901,-1.39
193902,2.88
193903,-1.71
193904,-1.06
193905,-2.89
193906,0.8
193907,-1.85
193908,-0.55
193909,-3.5
193910,-1.72
193911,-4.55
193912,-4.91
194001,-5.08
194002,-1.65
194003,-0.82
194004,1.96
194005,-2.1
194006,-0.19
194007,-1.46
194008,0.6
194009,-1.65
194010,-1.58
194011,1.5
194012,0.9
194101,0.43
194102,-0.43
194103,-0.77
194104,1.22
194105,-1.44
194106,2.87
194107,1.79
194108,1.28
194109,2.29
194110,4.32
194111,0.16
194112,2.72
194201,0.3
194202,0.34
194203,-0.17
194204,0.38
194205,1.2
194206,1.98
194207,0.63
194208,2.38
194209,1.21
194210,0
194211,0.3
194212,2.04
194301,1.75
194302,-2.28
194303,1.84
194304,-1.6
194305,1.63
194306,1.19
194307,0.33
194308,-1.71
194309,-1.63
194310,-0.53
194311,-2.59
194312,-3.23
194401,-3.48
194402,-0.37
194403,2.31
